id,name,version,chain,author_name,author_id,created_at,mint_opens_at,supply,iterations_count
0,FXHASH Generative Logo,fxhash 1.0 (Tezos),TEZOS,fxhash,tz1fepn7jZsCYBqCDhpM63hzh9g2Ytqk4Tpv,2021-11-03T12:26:02+00:00,2021-11-03T12:26:02+00:00,1000,1000
1,FXHASH Logo with Features,fxhash 1.0 (Tezos),TEZOS,fxhash,tz1fepn7jZsCYBqCDhpM63hzh9g2Ytqk4Tpv,2021-11-06T17:52:58+00:00,2021-11-06T17:52:58+00:00,1000,1000
2,RGB Elementary Cellular Automaton,fxhash 1.0 (Tezos),TEZOS,ciphrd,tz1PoDdN2oyRyF6DA73zTWAWYhNL4UGr3Egj,2021-11-07T20:47:26+00:00,2021-11-07T20:47:26+00:00,1000,1000
3,Punevyr's face,fxhash 1.0 (Tezos),TEZOS,punevyr,tz1SawhUHXWjiGK8gPK6QPmn95G8PkkSjA3S,2021-11-08T01:13:46+00:00,2021-11-08T01:13:46+00:00,100,100
4,Blobby,fxhash 1.0 (Tezos),TEZOS,Sam Tsao,tz1WZuFdbESHfBSvoBeao1Wkt7NCyUuXAT9D,2021-11-10T20:00:38+00:00,2021-11-10T20:00:38+00:00,512,512
5,BINGO,fxhash 1.0 (Tezos),TEZOS,rudxane,tz1YHsinBJHMj1YFN7UrCsVAgTcaJCH86PjK,2021-11-10T21:34:38+00:00,2021-11-10T21:34:38+00:00,1000,1000
6,Weave,fxhash 1.0 (Tezos),TEZOS,Third Vision,tz1Pvcc692zN1qUpf5Ek35AGNXwzqxCWHDYL,2021-11-10T23:28:48+00:00,2021-11-10T23:28:48+00:00,666,666
7,Generative Art - Poster,fxhash 1.0 (Tezos),TEZOS,lomz,tz1gYwgGhpxjt4po3f53P1t1sS3osPondHwW,2021-11-11T00:49:58+00:00,2021-11-11T00:49:58+00:00,30,30
8,Particulate Hash,fxhash 1.0 (Tezos),TEZOS,Liam Egan,tz1LrQZuDuGrtozMZxhwQAZjdqJjXHPxVja8,2021-11-11T01:36:28+00:00,2021-11-11T01:36:28+00:00,128,128
9,Folding,fxhash 1.0 (Tezos),TEZOS,Lisa Orth,tz1WhX3XRDvbJf4XY87Zh6JRstmqcjpM1Hfs,2021-11-11T03:56:48+00:00,2021-11-11T03:56:48+00:00,100,100
10,Sound Check,fxhash 1.0 (Tezos),TEZOS,idlebit,tz1LSjfgjLXmbp6VtPx7Tptxuh3Ljjbqj2Py,2021-11-11T09:57:08+00:00,2021-11-11T09:57:08+00:00,333,333
11,Generotique,fxhash 1.0 (Tezos),TEZOS,StrangerintheQ,tz2MHcnM7fEVtExELMPBZb5njDweqMGvbn8A,2021-11-11T11:21:18+00:00,2021-11-11T11:21:18+00:00,256,256
12,etherealArc,fxhash 1.0 (Tezos),TEZOS,Xeronimo,tz1PfQDUD9UWGJ2hqHRttJU5wVtxrnPwBRa1,2021-11-11T14:38:18+00:00,2021-11-11T14:38:18+00:00,100,100
13,Sticky circles,fxhash 1.0 (Tezos),TEZOS,loackme,tz1NgN7FCrSzs4vfMroKXyKE32WsReYD4WPd,2021-11-11T14:44:18+00:00,2021-11-11T14:44:18+00:00,256,256
14,SMOLSKULL,fxhash 1.0 (Tezos),TEZOS,markknol,tz1XrutuvkFRG15HmV2gdon86F38NMMGMAXr,2021-11-11T16:45:48+00:00,2021-11-11T16:45:48+00:00,2000,2000
15,BETWEEN THE LINES,fxhash 1.0 (Tezos),TEZOS,andre,tz1ZEoCxEKW6fPZv8LZrpu2N6DBZcCCqMS6v,2021-11-11T18:08:58+00:00,2021-11-11T18:08:58+00:00,250,250
16,Rotate Max #N,fxhash 1.0 (Tezos),TEZOS,PSW ,tz1SDVkGWcd7AKuEmgMNjvo1chbShRV3Ctm5,2021-11-11T18:33:38+00:00,2021-11-11T18:33:38+00:00,235,235
17,pico_pulses,fxhash 1.0 (Tezos),TEZOS,aebrer,tz1ZBMhTa7gxSpaeXoqyc6bTCrxEHfZYSpPt,2021-11-11T18:57:18+00:00,2021-11-11T18:57:18+00:00,256,256
18,Expansion,fxhash 1.0 (Tezos),TEZOS,beardcoded,tz1ddAm4HTMGQpnv7KQ3GWAtmAkXCnYdonJR,2021-11-11T19:23:48+00:00,2021-11-11T19:23:48+00:00,119,119
19,Hidden Square,fxhash 1.0 (Tezos),TEZOS,StrangerintheQ,tz2MHcnM7fEVtExELMPBZb5njDweqMGvbn8A,2021-11-11T19:44:18+00:00,2021-11-11T19:44:18+00:00,1000,1000
20,Chromatic dazzle,fxhash 1.0 (Tezos),TEZOS,wblut,tz1TSWEDs9wcBx2KiRzVzyzECsNpRiZaLJ1D,2021-11-11T20:03:48+00:00,2021-11-11T20:03:48+00:00,511,511
21,star (complex),fxhash 1.0 (Tezos),TEZOS,Chris Randall,tz1ibTknNagJCgQPgcbPvJhpSyS5vxgdyFt4,2021-11-11T20:20:48+00:00,2021-11-11T20:20:48+00:00,600,600
22,Bézier Truchet,fxhash 1.0 (Tezos),TEZOS,Reinder Nijhoff,tz1gcTyiMdps5MuP8kVpZ7QyK4ETwJMSYFx2,2021-11-11T21:39:48+00:00,2021-11-11T21:39:48+00:00,256,256
23,Subdivisual,fxhash 1.0 (Tezos),TEZOS,StrangerintheQ,tz2MHcnM7fEVtExELMPBZb5njDweqMGvbn8A,2021-11-13T10:01:48+00:00,2021-11-13T10:01:48+00:00,600,600
24,Salammbo,fxhash 1.0 (Tezos),TEZOS,Unruly Unroll,tz1W57HPiy9pHvJ9hz3MHZbZw1Fsz2pjpRyk,2021-11-13T10:01:48+00:00,2021-11-13T10:01:48+00:00,256,256
25,Pinches,fxhash 1.0 (Tezos),TEZOS,dmarchi,tz1NcENmPj8gCziBZKBLBh51Gs7YZrQck5An,2021-11-13T10:02:18+00:00,2021-11-13T10:02:18+00:00,650,650
26,Dandelion,fxhash 1.0 (Tezos),TEZOS,Aranya,tz1U72EG4beo6ZztyheWMQ4tKR2EqjPYTBoq,2021-11-13T10:02:48+00:00,2021-11-13T10:02:48+00:00,420,420
27,Helio World,fxhash 1.0 (Tezos),TEZOS,IsmaHelio,tz1aB4WhspBPfLA6X4qSQPZCDKQkmmGobrCk,2021-11-13T10:04:48+00:00,2021-11-13T10:04:48+00:00,333,333
28,c i r c u l a r,fxhash 1.0 (Tezos),TEZOS,punevyr,tz1SawhUHXWjiGK8gPK6QPmn95G8PkkSjA3S,2021-11-13T10:04:48+00:00,2021-11-13T10:04:48+00:00,100,100
30,Unicorn Cotton Candy,fxhash 1.0 (Tezos),TEZOS,TENGIL,tz1M3XidTqjsBwGnVTSL6mykfAsgroeNc4nA,2021-11-13T10:05:48+00:00,2021-11-13T10:05:48+00:00,500,500
29,Monochrome Kaleido,fxhash 1.0 (Tezos),TEZOS,TeNinEight,tz1WwLpnjMbjfQEmUpExC8wqNuZP5vTjYqgS,2021-11-13T10:05:48+00:00,2021-11-13T10:05:48+00:00,500,500
32,RADICAL,fxhash 1.0 (Tezos),TEZOS,andre,tz1ZEoCxEKW6fPZv8LZrpu2N6DBZcCCqMS6v,2021-11-13T10:06:48+00:00,2021-11-13T10:06:48+00:00,50,50
31,Hueswirls,fxhash 1.0 (Tezos),TEZOS,Mate Steinforth,tz1UNFnjSnhAL8YJtS8JRhTjmmWnuQbpKXPP,2021-11-13T10:06:48+00:00,2021-11-13T10:06:48+00:00,100,100
33,Käppygen,fxhash 1.0 (Tezos),TEZOS,toiminto,tz1iy5scpSWLzsc5bXoFnqGHW7NXY8fB26NB,2021-11-13T10:08:48+00:00,2021-11-13T10:08:48+00:00,222,222
34,Artifacts,fxhash 1.0 (Tezos),TEZOS,ParseError,tz1Q5WJ9NGy262exjudGBcUtue6tCzhbBU3U,2021-11-13T10:15:48+00:00,2021-11-13T10:15:48+00:00,256,256
35,B U B B L E S,fxhash 1.0 (Tezos),TEZOS,punevyr,tz1SawhUHXWjiGK8gPK6QPmn95G8PkkSjA3S,2021-11-13T10:23:18+00:00,2021-11-13T10:23:18+00:00,1000,1000
36,Trainer,fxhash 1.0 (Tezos),TEZOS,mmake,tz1Tjz12yutwbNnmSzUJPwAwPEb5NfphH1gt,2021-11-13T10:38:18+00:00,2021-11-13T10:38:18+00:00,60,60
37,Hex Flex,fxhash 1.0 (Tezos),TEZOS,Lisa Orth,tz1WhX3XRDvbJf4XY87Zh6JRstmqcjpM1Hfs,2021-11-13T10:39:48+00:00,2021-11-13T10:39:48+00:00,300,300
38,Trouble with Bubbles,fxhash 1.0 (Tezos),TEZOS,pRobably,tz1ik4A292Y1m5HP4i4AMetRCPr5yZBEUX7M,2021-11-13T10:41:48+00:00,2021-11-13T10:41:48+00:00,70,70
39,Rules,fxhash 1.0 (Tezos),TEZOS,Zashifrovano,tz1exaxBAyyRnR2KUf11VjF7tDTpVcDbxrAJ,2021-11-13T11:50:08+00:00,2021-11-13T11:50:08+00:00,371,371
40,Tribulations,fxhash 1.0 (Tezos),TEZOS,patxol,tz1LRugk5K1StypSUpwtRTwkc3J2KriyCNTL,2021-11-13T11:55:38+00:00,2021-11-13T11:55:38+00:00,50,50
41,Nouveau Dillsack,fxhash 1.0 (Tezos),TEZOS,Presstube,tz1ZMDCUyEvsQykWuxTkBzVDcTzMtUEwTeiw,2021-11-13T11:57:38+00:00,2021-11-13T11:57:38+00:00,300,300
43,Furbol,fxhash 1.0 (Tezos),TEZOS,Gorilla Sun,tz1hXx6tvTV3kzxpBR6E4hDYcxdgcRGHUTFj,2021-11-13T12:17:48+00:00,2021-11-13T12:17:48+00:00,1000,1000
44,Hashed Arcs,fxhash 1.0 (Tezos),TEZOS,Yazid,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU,2021-11-13T12:34:58+00:00,2021-11-13T12:34:58+00:00,360,360
45,Squatree,fxhash 1.0 (Tezos),TEZOS,StrangerintheQ,tz2MHcnM7fEVtExELMPBZb5njDweqMGvbn8A,2021-11-13T13:13:28+00:00,2021-11-13T13:13:28+00:00,300,300
46,TendysOS,fxhash 1.0 (Tezos),TEZOS,huwmessie,tz1cpszUhhk11Aif6Hhhh1ASqfpn23wxfvQT,2021-11-13T13:18:28+00:00,2021-11-13T13:18:28+00:00,420,420
47,Signals,fxhash 1.0 (Tezos),TEZOS,Y4000,tz1epBHKWqY7fgfescak8aJpmSB3iBxZy67f,2021-11-13T13:37:58+00:00,2021-11-13T13:37:58+00:00,170,170
48,Quads and Triangles,fxhash 1.0 (Tezos),TEZOS,twistie,tz1XFgaCrdZ2rDxYkGyzZ2ZsW7HyVswS1tK8,2021-11-13T13:40:28+00:00,2021-11-13T13:40:28+00:00,157,157
49,Pebbles & Jelly,fxhash 1.0 (Tezos),TEZOS,Antti Pussinen,tz1QBgi37mLQb3nu3FHtJQptiJTPfARtfm4P,2021-11-13T13:54:08+00:00,2021-11-13T13:54:08+00:00,50,50
50,Ride of the Beholder,fxhash 1.0 (Tezos),TEZOS,%cer,tz1aJ4r8qXfE7cZDgYVbgcwcMspaeDbxrL63,2021-11-13T14:19:48+00:00,2021-11-13T14:19:48+00:00,18,18
51,"It's tangled, fix it",fxhash 1.0 (Tezos),TEZOS,Kevin Masson,tz1YPLHAyrv1NUy8e1tB1bz9Ewwz3waTDpnU,2021-11-13T14:22:48+00:00,2021-11-13T14:22:48+00:00,140,140
52,Bugs Edition One,fxhash 1.0 (Tezos),TEZOS,arsiliath,tz1Q5AYJLYkb6wNxvCENaZxfvHHVMdp9a5As,2021-11-13T14:47:18+00:00,2021-11-13T14:47:18+00:00,128,128
53,Box Grid,fxhash 1.0 (Tezos),TEZOS,esnho,tz1Xye21UorssHqTHEyMQso5EG95sssea9vN,2021-11-13T14:58:18+00:00,2021-11-13T14:58:18+00:00,20,20
54,Wisp,fxhash 1.0 (Tezos),TEZOS,Gorilla Sun,tz1hXx6tvTV3kzxpBR6E4hDYcxdgcRGHUTFj,2021-11-13T15:02:18+00:00,2021-11-13T15:02:18+00:00,1000,1000
55,Mountains,fxhash 1.0 (Tezos),TEZOS,ruuddotorg,tz1iUz6en7hgsC73tbb3jTRSuF2LsEzjjkBr,2021-11-13T15:24:28+00:00,2021-11-13T15:24:28+00:00,200,200
56,Rainbow Snake,fxhash 1.0 (Tezos),TEZOS,Mate Steinforth,tz1UNFnjSnhAL8YJtS8JRhTjmmWnuQbpKXPP,2021-11-13T15:26:28+00:00,2021-11-13T15:26:28+00:00,100,100
57,Truchet tribute,fxhash 1.0 (Tezos),TEZOS,Spectrolize,tz1MBrwe8EgiZJ5kgVEDnL5emVM294J5RiaW,2021-11-13T15:53:28+00:00,2021-11-13T15:53:28+00:00,200,200
58,Cellular Canvas,fxhash 1.0 (Tezos),TEZOS,nicthib,tz1Xx1KnngqcdWXxjaWHknEgWVcGLgStfTqv,2021-11-13T15:57:28+00:00,2021-11-13T15:57:28+00:00,500,500
59,Sand waves,fxhash 1.0 (Tezos),TEZOS,Damien Mortini,tz1fNwG8wyErf1qwp5WuP6Pwt6HkFsJxsHLC,2021-11-13T15:57:28+00:00,2021-11-13T15:57:28+00:00,121,121
60,Neon Kaleido,fxhash 1.0 (Tezos),TEZOS,TeNinEight,tz1WwLpnjMbjfQEmUpExC8wqNuZP5vTjYqgS,2021-11-13T16:38:58+00:00,2021-11-13T16:38:58+00:00,250,250
61,achromat,fxhash 1.0 (Tezos),TEZOS,Landlines Art,tz1RkYY3jr1ocuPdQqrRefr5FqoawKQsmBmD,2021-11-13T16:43:58+00:00,2021-11-13T16:43:58+00:00,1000,1000
62,Glipsian Early Warning Collision Detection,fxhash 1.0 (Tezos),TEZOS,09-07,tz1VMSfs6sxfv94puiVB7xPvtYgiX6L31bmF,2021-11-13T17:02:28+00:00,2021-11-13T17:02:28+00:00,100,100
63,DARK FOREST,fxhash 1.0 (Tezos),TEZOS,quentinhocde,tz1g2ZxQbaePfmpSwPQNRVNaF5aJdVmZWZgL,2021-11-13T17:41:28+00:00,2021-11-13T17:41:28+00:00,144,144
64,Chromatic Squares,fxhash 1.0 (Tezos),TEZOS,nicthib,tz1Xx1KnngqcdWXxjaWHknEgWVcGLgStfTqv,2021-11-13T18:09:38+00:00,2021-11-13T18:09:38+00:00,256,256
65,contrapuntos,fxhash 1.0 (Tezos),TEZOS,msoriaro,tz1eCX4smQ3LbxwDR3pqNoLQvNNKiHJtpwYz,2021-11-13T18:29:38+00:00,2021-11-13T18:29:38+00:00,773,773
66,Wipe,fxhash 1.0 (Tezos),TEZOS,mandybrigwell,tz1VjCS2jiBTVPSEoYzJ79KkbYV5QbFJxuf3,2021-11-13T18:53:18+00:00,2021-11-13T18:53:18+00:00,65,65
67,Wave,fxhash 1.0 (Tezos),TEZOS,greweb,tz1cgQAQfECg5bPASYTMyJ9QJQjSUi8rfL67,2021-11-13T18:57:48+00:00,2021-11-13T18:57:48+00:00,500,500
68,Abstract,fxhash 1.0 (Tezos),TEZOS,=) =),tz1buGzt5zYc1rSXHEtcRtBvmCyBmgALtKRR,2021-11-13T19:01:48+00:00,2021-11-13T19:01:48+00:00,60,60
70,Metamorfose,fxhash 1.0 (Tezos),TEZOS,Jack Rusher,tz1VbkEEmrxQgMVWeauZF2KD1BaHfrvSHp5z,2021-11-13T19:43:48+00:00,2021-11-13T19:43:48+00:00,190,190
71,Mystic runes #N,fxhash 1.0 (Tezos),TEZOS,ver_nft,tz1UuujYk2VUaCLiRG8VzqFumMAikD4hLNQt,2021-11-13T19:57:28+00:00,2021-11-13T19:57:28+00:00,128,128
72,b u b b l e s 2 . 0,fxhash 1.0 (Tezos),TEZOS,punevyr,tz1SawhUHXWjiGK8gPK6QPmn95G8PkkSjA3S,2021-11-13T20:00:28+00:00,2021-11-13T20:00:28+00:00,100,100
73,JUGGLERS,fxhash 1.0 (Tezos),TEZOS,itsgalo,tz1h5ggjuAGW33VPksGmpBru2B3Cn868uxsh,2021-11-13T20:11:58+00:00,2021-11-13T20:11:58+00:00,128,128
74,curves,fxhash 1.0 (Tezos),TEZOS,Recursive,tz1hzBcM2qDxNYeFznnjoF8kV8fQaMmqHqKG,2021-11-13T20:52:58+00:00,2021-11-13T20:52:58+00:00,25,25
75,Cube,fxhash 1.0 (Tezos),TEZOS,Reinder Nijhoff,tz1gcTyiMdps5MuP8kVpZ7QyK4ETwJMSYFx2,2021-11-13T20:53:28+00:00,2021-11-13T20:53:28+00:00,256,256
76,Circa November 2021,fxhash 1.0 (Tezos),TEZOS,clayheaton,tz1LH1yn4tKVmNNeSzwoRT6zZ375K9yi1NoR,2021-11-13T20:56:58+00:00,2021-11-13T20:56:58+00:00,128,128
77,fish are friends,fxhash 1.0 (Tezos),TEZOS,computereveryday,tz1TfgBUrL4eiWiUqFubErGVxa6isZZXLHhL,2021-11-13T21:00:28+00:00,2021-11-13T21:00:28+00:00,93,93
78,groroth v0.1,fxhash 1.0 (Tezos),TEZOS,NghiêmPh°ÛcNho,tz1ZKePdkXRYar4xzDELeHo97QXsJDEBvVWr,2021-11-13T21:04:28+00:00,2021-11-13T21:04:28+00:00,50,50
79,Loom,fxhash 1.0 (Tezos),TEZOS,andreasrau,tz1Roq6end2LFtkpGrmuyRZH82xsWfaRCat1,2021-11-13T21:14:58+00:00,2021-11-13T21:14:58+00:00,480,480
80,Mathgic Spell,fxhash 1.0 (Tezos),TEZOS,StrangerintheQ,tz2MHcnM7fEVtExELMPBZb5njDweqMGvbn8A,2021-11-13T21:25:28+00:00,2021-11-13T21:25:28+00:00,30,30
81,Vasar #N,fxhash 1.0 (Tezos),TEZOS,vyril,tz1UFqcwKaY83a4Y6ZPRbX1xB8LHnDTN9kg7,2021-11-13T21:27:58+00:00,2021-11-13T21:27:58+00:00,102,102
82,CROSS THE LINE,fxhash 1.0 (Tezos),TEZOS,andre,tz1ZEoCxEKW6fPZv8LZrpu2N6DBZcCCqMS6v,2021-11-13T21:31:58+00:00,2021-11-13T21:31:58+00:00,150,150
83,pendula,fxhash 1.0 (Tezos),TEZOS,balidani,tz1Zy9Dvfx7fYsQzvZPPzTxAQWGXx7RKgZ7v,2021-11-13T21:48:28+00:00,2021-11-13T21:48:28+00:00,128,128
84,Other worlds,fxhash 1.0 (Tezos),TEZOS,Megachel,tz1fecaAvBRYYCkoTfSe9MGRgHVzhsadC9Zf,2021-11-13T21:48:58+00:00,2021-11-13T21:48:58+00:00,100,100
85,SEA,fxhash 1.0 (Tezos),TEZOS,Camille Roux,tz1WEZkz46AZmGbW32qwUHsdA2PBBATgixth,2021-11-15T10:00:58+00:00,2021-11-15T10:00:58+00:00,150,150
86,Reading a book,fxhash 1.0 (Tezos),TEZOS,Kim Asendorf,tz1N1vuWBsDtGMyj3No8NfeJdCBFu8v6gvSX,2021-11-15T10:00:58+00:00,2021-11-15T10:00:58+00:00,1000,1000
87,SHAPEY,fxhash 1.0 (Tezos),TEZOS,=) =),tz1buGzt5zYc1rSXHEtcRtBvmCyBmgALtKRR,2021-11-15T10:01:28+00:00,2021-11-15T10:01:28+00:00,49,49
89,Wind map,fxhash 1.0 (Tezos),TEZOS,Spectrolize,tz1MBrwe8EgiZJ5kgVEDnL5emVM294J5RiaW,2021-11-15T10:01:28+00:00,2021-11-15T10:01:28+00:00,200,200
88,interference,fxhash 1.0 (Tezos),TEZOS,fraguada,tz1SeV6vmY1nR6xuDPXRx1tWsrhqXCwmXL2j,2021-11-15T10:01:28+00:00,2021-11-15T10:01:28+00:00,128,128
90,Reflector,fxhash 1.0 (Tezos),TEZOS,Juhani Halkomäki,tz2LQg9NqXfgyMVrihTwzzXfUVdZTnmxpYts,2021-11-15T10:01:28+00:00,2021-11-15T10:01:28+00:00,101,101
95,Breakfast,fxhash 1.0 (Tezos),TEZOS,Kelly Milligan,tz1XBAp7qeZ5fWqVnVFzZHuHc455L1xrw841,2021-11-15T10:01:58+00:00,2021-11-15T10:01:58+00:00,150,150
91,Jardín,fxhash 1.0 (Tezos),TEZOS,mjlindow,tz1bzg9xNB4heuF41sLfrdt1QmqrJTDQqDwN,2021-11-15T10:01:58+00:00,2021-11-15T10:01:58+00:00,500,500
92,Winterland,fxhash 1.0 (Tezos),TEZOS,TeNinEight,tz1WwLpnjMbjfQEmUpExC8wqNuZP5vTjYqgS,2021-11-15T10:01:58+00:00,2021-11-15T10:01:58+00:00,250,250
94,Générateur de Truchet,fxhash 1.0 (Tezos),TEZOS,AutoEclectus,tz1RzomQhc8ttSFR7LgsaFxMpwVBCUpWqRYe,2021-11-15T10:01:58+00:00,2021-11-15T10:01:58+00:00,150,150
93,Breathing,fxhash 1.0 (Tezos),TEZOS,grodarh,tz1SJajqaQAXms7Wbn7iRCCj1DSgtQh38RSa,2021-11-15T10:01:58+00:00,2021-11-15T10:01:58+00:00,50,50
96,Fruits,fxhash 1.0 (Tezos),TEZOS,michael0x40,tz1U43AXhJsF38GWhyRpb3syFmsbHQVvDfFM,2021-11-15T10:02:58+00:00,2021-11-15T10:02:58+00:00,73,73
97,G̴̩̖͈̿L̵̲͖͗̅Ị̸̧̡̹͌̍T̶̻̈́C̷̭̱̣͙͆͒̈́H̴͈̗͖̀̓,fxhash 1.0 (Tezos),TEZOS,rudxane,tz1YHsinBJHMj1YFN7UrCsVAgTcaJCH86PjK,2021-11-15T10:03:28+00:00,2021-11-15T10:03:28+00:00,99,99
98,Grocery List,fxhash 1.0 (Tezos),TEZOS,manuja,tz2XUK8kztTM554Kzd3cCgSMYdo1DJG5mn1a,2021-11-15T10:04:28+00:00,2021-11-15T10:04:28+00:00,200,200
99,f-emerald,fxhash 1.0 (Tezos),TEZOS,mrkswcz,tz2KDeWyeCeu2eZYLav9PrRAQmFCyESNF4Es,2021-11-15T10:05:28+00:00,2021-11-15T10:05:28+00:00,512,512
100,Globlins,fxhash 1.0 (Tezos),TEZOS,P1x3lboy,tz1SvJbECAva9gxczfBmX3CAFUszgQXNgsNm,2021-11-15T10:05:58+00:00,2021-11-15T10:05:58+00:00,50,50
101,SPORE remastered,fxhash 1.0 (Tezos),TEZOS,quentinhocde,tz1g2ZxQbaePfmpSwPQNRVNaF5aJdVmZWZgL,2021-11-15T10:08:28+00:00,2021-11-15T10:08:28+00:00,256,256
102,Wavetable,fxhash 1.0 (Tezos),TEZOS,carson,tz1XqJ9e6NdouxdGvm2V3aknwFnGL6Kinu6A,2021-11-15T10:08:58+00:00,2021-11-15T10:08:58+00:00,100,100
103,Rainbow Drenk,fxhash 1.0 (Tezos),TEZOS,Mate Steinforth,tz1UNFnjSnhAL8YJtS8JRhTjmmWnuQbpKXPP,2021-11-15T10:11:28+00:00,2021-11-15T10:11:28+00:00,233,233
105,Passage,fxhash 1.0 (Tezos),TEZOS,4p4r4t4,tz1iYncv98iwSt5LQCQfJCYAXeqjtcUp8jNb,2021-11-15T10:15:28+00:00,2021-11-15T10:15:28+00:00,52,52
104,Stellae,fxhash 1.0 (Tezos),TEZOS,mandybrigwell,tz1VjCS2jiBTVPSEoYzJ79KkbYV5QbFJxuf3,2021-11-15T10:15:28+00:00,2021-11-15T10:15:28+00:00,32,32
106,Grid deconstructed,fxhash 1.0 (Tezos),TEZOS,radarboy3000,tz1QYUdmH3UdWzNqV9RQBjfzbrSUWcJ28wUb,2021-11-15T10:21:58+00:00,2021-11-15T10:21:58+00:00,100,100
107,Whirlwind - Perspecto,fxhash 1.0 (Tezos),TEZOS,twistie,tz1XFgaCrdZ2rDxYkGyzZ2ZsW7HyVswS1tK8,2021-11-15T10:21:58+00:00,2021-11-15T10:21:58+00:00,40,40
108,Swinging Lines,fxhash 1.0 (Tezos),TEZOS,esnho,tz1Xye21UorssHqTHEyMQso5EG95sssea9vN,2021-11-15T10:27:28+00:00,2021-11-15T10:27:28+00:00,20,20
109,fxBLOCK,fxhash 1.0 (Tezos),TEZOS,@grasser_alex,tz1iZ9yHJzgvC4oBvHsrNmtL8GHPqtwqshAi,2021-11-15T10:31:28+00:00,2021-11-15T10:31:28+00:00,256,256
110,Bubbles and Cubicles,fxhash 1.0 (Tezos),TEZOS,Mate Steinforth,tz1UNFnjSnhAL8YJtS8JRhTjmmWnuQbpKXPP,2021-11-15T10:44:58+00:00,2021-11-15T10:44:58+00:00,108,108
111,MOYO,fxhash 1.0 (Tezos),TEZOS,Florian Zumbrunn,tz1ipr6o23Pb6jvfpJrrgkbhxbRBmYbmQn81,2021-11-15T10:46:58+00:00,2021-11-15T10:46:58+00:00,139,139
113,lines&circles,fxhash 1.0 (Tezos),TEZOS,Xeronimo,tz1PfQDUD9UWGJ2hqHRttJU5wVtxrnPwBRa1,2021-11-15T10:49:28+00:00,2021-11-15T10:49:28+00:00,256,256
114,STALKERS,fxhash 1.0 (Tezos),TEZOS,itsgalo,tz1h5ggjuAGW33VPksGmpBru2B3Cn868uxsh,2021-11-15T10:57:08+00:00,2021-11-15T10:57:08+00:00,256,256
115,Balls to the wall,fxhash 1.0 (Tezos),TEZOS,Mate Steinforth,tz1UNFnjSnhAL8YJtS8JRhTjmmWnuQbpKXPP,2021-11-15T10:58:08+00:00,2021-11-15T10:58:08+00:00,100,100
116,Shards,fxhash 1.0 (Tezos),TEZOS,Formerly Known As,tz1fxNoz8iUWs65Nm2Y4iYWbk3Y59ktzzpra,2021-11-15T11:09:48+00:00,2021-11-15T11:09:48+00:00,132,132
117,"SMILE, PLEASE",fxhash 1.0 (Tezos),TEZOS,dontbesovasya,tz1N34XDCAFXfe4vCLf9ipFPetaVYrtF61hq,2021-11-15T11:10:48+00:00,2021-11-15T11:10:48+00:00,100,100
118,Dark Digital Marble,fxhash 1.0 (Tezos),TEZOS,Gin(proto),tz1aiagLLNRPpJ1cRBc2AnYAq5p4gmPTst37,2021-11-15T11:16:18+00:00,2021-11-15T11:16:18+00:00,23,23
119,Eternal flames,fxhash 1.0 (Tezos),TEZOS,patxol,tz1LRugk5K1StypSUpwtRTwkc3J2KriyCNTL,2021-11-15T11:20:48+00:00,2021-11-15T11:20:48+00:00,37,37
120,Foldoscope,fxhash 1.0 (Tezos),TEZOS,StrangerintheQ,tz2MHcnM7fEVtExELMPBZb5njDweqMGvbn8A,2021-11-15T11:22:48+00:00,2021-11-15T11:22:48+00:00,44,44
121,Y E Y E R I N G,fxhash 1.0 (Tezos),TEZOS,Zashifrovano,tz1exaxBAyyRnR2KUf11VjF7tDTpVcDbxrAJ,2021-11-15T11:24:18+00:00,2021-11-15T11:24:18+00:00,28,28
122,Light Digital Marble,fxhash 1.0 (Tezos),TEZOS,Gin(proto),tz1aiagLLNRPpJ1cRBc2AnYAq5p4gmPTst37,2021-11-15T11:25:18+00:00,2021-11-15T11:25:18+00:00,17,17
123,Grid Reconstructed,fxhash 1.0 (Tezos),TEZOS,radarboy3000,tz1QYUdmH3UdWzNqV9RQBjfzbrSUWcJ28wUb,2021-11-15T11:29:18+00:00,2021-11-15T11:29:18+00:00,100,100
124,fblob,fxhash 1.0 (Tezos),TEZOS,formerlyknownas,tz1RnSVW2TUQ4dDrUFBbnQd5RPCQqyL9VK4j,2021-11-15T11:31:48+00:00,2021-11-15T11:31:48+00:00,12,12
125,Alt Solar System,fxhash 1.0 (Tezos),TEZOS,ArtistUnknown,tz1LMvSEVi43DTKpVLi7RjMaS544qZcRjRq3,2021-11-15T11:34:18+00:00,2021-11-15T11:34:18+00:00,47,47
126,Light Mandala,fxhash 1.0 (Tezos),TEZOS,Gin(proto),tz1aiagLLNRPpJ1cRBc2AnYAq5p4gmPTst37,2021-11-15T11:58:28+00:00,2021-11-15T11:58:28+00:00,50,50
127,Chaos Cluster,fxhash 1.0 (Tezos),TEZOS,Murat Atimtay,tz1XvP1MfRgh6DbHhVXK5TTqKznV5MYCGoMv,2021-11-15T12:02:58+00:00,2021-11-15T12:02:58+00:00,253,253
