id,name,version,chain,author_name,author_id,created_at,mint_opens_at,supply,iterations_count
9234,paintmove,fxhash 1.0 (Tezos),TEZOS,abolicphobia,tz2FyUZs9ijUSXQHiGn4ihmamqEPDbBif59W,2022-02-13T08:32:34+00:00,2022-02-13T11:32:34+00:00,2,2
9235,blk,fxhash 1.0 (Tezos),TEZOS,mi55ile,tz1diHALZGp5K2yu9BZpBSP2j5QLwoUq4u13,2022-02-13T08:41:04+00:00,2022-02-13T11:41:04+00:00,1,1
9237,Minimalism 2: Dunes,fxhash 1.0 (Tezos),TEZOS,Thucidithrax,tz1NGgQj6Kf34mdaamFYs128wWJXpBy5XuY4,2022-02-13T08:46:34+00:00,2022-02-13T08:46:34+00:00,20,20
9238,"Artificial Flower 2 (2022), walkers series",fxhash 1.0 (Tezos),TEZOS,HaSh2aRt,tz1U7Dy4psqcDBUxLaGquzMGc1FodP7bLnjo,2022-02-13T08:54:34+00:00,2022-02-13T11:54:34+00:00,12,12
9239,crypto honeycombs #N,fxhash 1.0 (Tezos),TEZOS,Ashton Clutcher,tz1Yt9oPxWnMVMKDSfApHcyYMBK7DmPnTa2v,2022-02-13T08:56:04+00:00,2022-02-13T11:56:04+00:00,3,3
9241,polygonism,fxhash 1.0 (Tezos),TEZOS,Gorik,tz1Zjhf1JkXsjRhaxemA5CxXfsU6G9624nHR,2022-02-13T09:06:34+00:00,2022-02-13T09:06:34+00:00,15,15
9242,Bee's Life Paths | LITE,fxhash 1.0 (Tezos),TEZOS,Solarisedigle,tz1Ncq587fxUpFJEJkrZDydAX1bhFnX3YFVV,2022-02-13T09:08:04+00:00,2022-02-13T09:08:04+00:00,258,258
9243,Voxelsne,fxhash 1.0 (Tezos),TEZOS,clauswilke,tz1XTr7d3FZ19KndZ1HX3iav8fqKeZwGx8bZ,2022-02-13T09:14:04+00:00,2022-02-13T09:14:04+00:00,64,64
9245,γ_hole,fxhash 1.0 (Tezos),TEZOS,nekropunk,tz1iVwgzR6F24uwUBuXiAsAynsdwWsgZ9uhK,2022-02-13T09:39:04+00:00,2022-02-13T12:39:04+00:00,78,78
9246,micro black hole,fxhash 1.0 (Tezos),TEZOS,play,tz1VZUTpbJQiQZvpXE9kTCydgyTTxpW49G5o,2022-02-13T09:58:34+00:00,2022-02-13T12:58:34+00:00,94,94
9247,Paper Cowboys ,fxhash 1.0 (Tezos),TEZOS,Riley,tz1idyTcMAEZ5ZZ86EnBTWyvJo6NRCmFN4hn,2022-02-13T09:59:34+00:00,2022-02-13T12:59:34+00:00,35,35
9248,"fx(cryptonoises,bits)",fxhash 1.0 (Tezos),TEZOS,andriibakulin,tz1Ys42frYhgxHxXtqoY42GiuRPZ9ykbP86Y,2022-02-13T10:02:34+00:00,2022-02-13T10:02:34+00:00,6,6
9249,kaneda,fxhash 1.0 (Tezos),TEZOS,mi55ile,tz1diHALZGp5K2yu9BZpBSP2j5QLwoUq4u13,2022-02-13T10:04:04+00:00,2022-02-13T13:04:04+00:00,3,3
9251,grafFX00,fxhash 1.0 (Tezos),TEZOS,miusoph,tz1fE1YZpwJ8pzd4Vgfq7KzJhNjPEQ3YbPER,2022-02-13T10:22:34+00:00,2022-02-13T13:22:34+00:00,13,13
9252,hash,fxhash 1.0 (Tezos),TEZOS,aemkei,tz2SCdwwAZYSnZbWxNa2HW4voFUX4GmrcHqa,2022-02-13T10:28:34+00:00,2022-02-13T13:28:34+00:00,128,128
9253,Quantum Portal,fxhash 1.0 (Tezos),TEZOS,t3os,tz1ivMszr6h94yTACLXjJzK3tuvRoDHqfpwN,2022-02-13T10:34:34+00:00,2022-02-13T13:34:34+00:00,6,6
9254,Texture pattern I ,fxhash 1.0 (Tezos),TEZOS,krach,tz1csxQGg98RsLRhS3kGozUa5JqXR1TBt26s,2022-02-13T10:35:34+00:00,2022-02-13T10:35:34+00:00,43,43
9255,Fluids,fxhash 1.0 (Tezos),TEZOS,jambonbill,tz1S1ghDL8NuN3pvXmaaarGyqFrfG1VXGiRz,2022-02-13T10:38:04+00:00,2022-02-13T10:38:04+00:00,99,99
9256,Riverside,fxhash 1.0 (Tezos),TEZOS,superbialux,tz1MGXFh1CgiFL5p3dhLWiAabe9tkjjfrEdF,2022-02-13T10:49:34+00:00,2022-02-13T10:49:34+00:00,5,5
9257,0C Blizzard,fxhash 1.0 (Tezos),TEZOS,microdance,tz1LS9MTyrzp7NVPXog7tXkiz3seTdg6RXvr,2022-02-13T10:50:34+00:00,2022-02-13T13:50:34+00:00,6,6
9258,Astro Letters,fxhash 1.0 (Tezos),TEZOS,Nk$martbuck$,tz1M3Arwk9MypaKbntwGmvQrKpgDY7ZiuSnB,2022-02-13T10:53:34+00:00,2022-02-13T13:53:34+00:00,4,4
9260,Fission Garden (Special Edition),fxhash 1.0 (Tezos),TEZOS,Domitori,tz1eHWt7M6A6Rb58CkkxPXfSsE4Bsue9P7Hj,2022-02-13T10:57:04+00:00,2022-02-13T13:57:04+00:00,20,20
9262,FXHashTikis,fxhash 1.0 (Tezos),TEZOS,Mark Cotton,tz1avGxK1fUuZmHQ95qNeiHdf4UJazdSc5b7,2022-02-13T11:08:04+00:00,2022-02-13T11:08:04+00:00,7,7
9263,Avenue,fxhash 1.0 (Tezos),TEZOS,KoalaMilk,tz1bz2CabKhva5Y5Q3NWf3u7pBFQF72KJNm5,2022-02-13T11:08:34+00:00,2022-02-13T11:08:34+00:00,29,29
9264,Sequins RGB,fxhash 1.0 (Tezos),TEZOS,schafo,tz1XfD5P5g8TniPAyk5DB5wgtb84xiBqq5Ed,2022-02-13T11:11:34+00:00,2022-02-13T14:11:34+00:00,1,1
9266,ascii love battles,fxhash 1.0 (Tezos),TEZOS,brootal noodle,tz1UizxSP5SoJtb9MubWnyCrPqaWp6xTGV1a,2022-02-13T11:18:04+00:00,2022-02-13T14:18:04+00:00,8,8
9267,Just Another Manic Sunday,fxhash 1.0 (Tezos),TEZOS,Aeon Bloom,tz1Rfg2WCNpMaHhNSgmUUNgrAra3W4GUTicG,2022-02-13T11:23:34+00:00,2022-02-13T11:23:34+00:00,13,13
9268,Re:,fxhash 1.0 (Tezos),TEZOS,I_am_NOT_Artisan,tz1dzWZ3ULXLHRPD2aXErrkXcrS9FXZHkGYH,2022-02-13T11:26:34+00:00,2022-02-13T14:26:34+00:00,6,6
9269,nzfkrs,fxhash 1.0 (Tezos),TEZOS,P_A_C,tz1hDVaKTZv4DDAD2pNQaTjo9Gu9ZD7k1o8s,2022-02-13T11:31:34+00:00,2022-02-13T14:31:34+00:00,7,7
9271,Floating bear,fxhash 1.0 (Tezos),TEZOS,Zara,tz1hgN7qH6HsLnXW1MiRzNMXr6mkUXhdeytS,2022-02-13T11:37:04+00:00,2022-02-13T14:37:04+00:00,0,0
9272,Microsillon,fxhash 1.0 (Tezos),TEZOS,Laurent Houdard #1,tz1WwNyzXEGvSxZDEvugnDghcsQabxHWcsvn,2022-02-13T11:47:14+00:00,2022-02-13T11:47:14+00:00,80,80
9273,Rendezvous,fxhash 1.0 (Tezos),TEZOS,unsleeping_ik,tz2H8AANLU25yBD8MxPocngHngKNVEXXRXGE,2022-02-13T12:16:14+00:00,2022-02-13T15:16:14+00:00,5,5
