id,name,version,chain,mint_opens_at,supply,minted,currency,primary_volume,primary_sales,secondary_volume,total_volume,total_sales,total_volume_usd
25061,States of the Moment,fxhash 1.0 (Tezos),TEZOS,2023-02-13T19:00:00+00:00,1440,15,XTZ,21.0,15,0.0,21.0,15,22.0
25064,Tangle,fxhash 1.0 (Tezos),TEZOS,2023-02-23T15:00:00+00:00,246,11,XTZ,37.95,11,0.0,37.95,11,51.59
25065,Abstract of Valentine's 2023,fxhash 1.0 (Tezos),TEZOS,2023-02-13T20:56:29+00:00,100,100,XTZ,0.0,100,0.0,0.0,100,0.0
25067,scenery,fxhash 1.0 (Tezos),TEZOS,2023-02-13T18:48:59+00:00,99,43,XTZ,32.25,43,0.0,32.25,43,35.24
25068,Furry Gradients,fxhash 1.0 (Tezos),TEZOS,2023-02-13T18:52:29+00:00,444,444,XTZ,3230.0,444,418.69,3648.69,480,4039.67
25069,Sensor,fxhash 1.0 (Tezos),TEZOS,2023-02-13T21:53:59+00:00,214,152,XTZ,0.0,152,4.0,4.0,153,4.16
2507,#3 - MITHUNA,fxhash 1.0 (Tezos),TEZOS,2021-12-07T01:15:50+00:00,4,4,XTZ,2.8,4,0.0,2.8,4,13.88
25070,be my digital valentine?,fxhash 1.0 (Tezos),TEZOS,2023-02-13T23:00:00+00:00,14,14,XTZ,14.0,14,0.0,14.0,14,14.86
25071,IMPULS,fxhash 1.0 (Tezos),TEZOS,2023-02-13T21:00:00+00:00,16,16,XTZ,15.84,16,0.0,15.84,16,17.09
25072,AERO,fxhash 1.0 (Tezos),TEZOS,2023-02-14T18:00:00+00:00,200,200,XTZ,4800.0,200,5609.7,10409.7,318,11187.71
25073,Resilience,fxhash 1.0 (Tezos),TEZOS,2023-02-14T01:30:44+00:00,256,256,XTZ,172.5,256,57.02,229.52,282,240.27
25076,comtemplate v.01.f,fxhash 1.0 (Tezos),TEZOS,2023-02-14T00:03:44+00:00,17,17,XTZ,21.0,17,20.0,41.0,19,38.37
25078,The Duel,fxhash 1.0 (Tezos),TEZOS,2023-02-16T16:30:00+00:00,64,22,XTZ,44.0,22,0.0,44.0,22,33.78
25079,Organic Oeuvre,fxhash 1.0 (Tezos),TEZOS,2023-02-15T20:34:00+00:00,128,128,XTZ,71.25,128,134.18,205.43,162,185.44
2508,Orgin,fxhash 1.0 (Tezos),TEZOS,2021-12-07T01:24:50+00:00,1,1,XTZ,1.0,1,0.0,1.0,1,4.09
25080,loyal Dog,fxhash 1.0 (Tezos),TEZOS,2023-02-14T19:10:00+00:00,12,5,XTZ,10.0,5,0.0,10.0,5,11.08
25085,LED Assembly,fxhash 1.0 (Tezos),TEZOS,2023-02-14T09:28:14+00:00,8,1,XTZ,5.0,1,0.0,5.0,1,5.3
25086,Random No. 3,fxhash 1.0 (Tezos),TEZOS,2023-02-14T14:00:00+00:00,150,150,XTZ,0.0,150,2.2,2.2,153,2.47
25087,shimmr,fxhash 1.0 (Tezos),TEZOS,2023-02-14T11:30:00+00:00,8,8,XTZ,5.76,8,0.0,5.76,8,6.09
25088,FraKtuR,fxhash 1.0 (Tezos),TEZOS,2023-02-15T17:00:00+00:00,109,104,XTZ,0.0,104,302.858,302.858,114,320.68
25089,Cubism Flowers,fxhash 1.0 (Tezos),TEZOS,2023-02-14T13:58:14+00:00,16,6,XTZ,6.0,6,0.0,6.0,6,6.96
2509,Mesmerized,fxhash 1.0 (Tezos),TEZOS,2021-12-07T01:31:00+00:00,41,41,XTZ,4.1,41,0.0,4.1,41,17.32
25091,Re-Build #TezQuakeAid,fxhash 1.0 (Tezos),TEZOS,2023-02-15T20:15:00+00:00,99,13,XTZ,6.93,13,0.0,6.93,13,7.44
25094,Murder on the dance floor,fxhash 1.0 (Tezos),TEZOS,2023-02-14T13:44:00+00:00,7,7,XTZ,21.0,7,0.0,21.0,7,22.8
