0.0, 0.828
6.048, 0.54
10.248, 3.422
8.604, 7.803
10.392, 11.102
9.041, 14.689
0.0, 14.689
3.495, 3.771
6.596, 4.099
5.926, 6.106
3.495, 6.325
3.495, 9.43
6.596, 9.639
6.353, 11.549
3.495, 11.864
12.53, 0.186
16.044, 0.186
16.044, 14.689
12.53, 14.689
20.111, 2.051
25.951, 2.051
25.951, 3.369
20.111, 3.369
20.972, 4.648
25.04, 4.648
28.062, 7.47
28.062, 11.864
25.795, 14.689
20.972, 14.871
18.414, 12.662
17.891, 7.614
22.461, 7.839
25.312, 8.258
25.486, 10.576
22.977, 12.166
20.648, 10.082
31.694, 4.648
37.684, 4.648
39.907, 6.262
39.907, 9.024
37.116, 9.024
36.597, 7.26
33.339, 7.349
33.016, 11.601
35.898, 12.225
36.679, 10.817
39.907, 10.817
39.668, 13.041
37.863, 14.689
32.447, 14.689
30.08, 12.575
30.08, 7.437
41.777, 0.186
45.291, 0.186
45.291, 7.119
47.79, 4.404
51.676, 4.351
47.202, 9.024
51.554, 14.689
47.79, 14.689
45.291, 11.019
45.291, 14.689
41.777, 14.689
53.27, 0.663
63.728, 0.663
63.728, 4.009
60.567, 4.009
60.567, 14.689
56.523, 14.689
56.244, 4.009
53.27, 4.009
63.433, 4.816
66.801, 4.667
66.805, 5.411
71.479, 4.667
71.479, 8.243
66.822, 8.363
66.86, 14.689
63.433, 14.799
73.607, 5.979
75.861, 4.667
79.213, 5.208
79.567, 4.667
83.147, 4.667
83.147, 9.143
83.147, 14.689
79.457, 14.799
79.457, 13.723
76.172, 14.799
73.568, 13.329
72.385, 9.935
76.251, 8.243
78.055, 7.454
79.362, 7.887
79.421, 11.502
77.766, 12.019
75.118, 10.392
84.654, 0.0
89.138, 0.0
89.138, 2.161
86.653, 3.755
84.654, 3.404
85.224, 4.667
88.6, 4.667
88.6, 14.799
85.033, 14.799
90.508, 4.82
93.78, 4.667
93.763, 5.69
97.473, 4.667
99.806, 5.694
100.0, 14.799
96.793, 14.799
96.469, 8.383
94.623, 8.014
93.707, 9.089
93.618, 14.799
90.508, 14.799
