channel,rotator,hue360,sat100,light100,length
3,24.403,208.125,18.75,18.75,118
1,24.592,180,28.90625,28.90625,118
3,24.592,213.75,28.90625,28.90625,118
1,24.781,174.375,21.09375,21.09375,118
3,24.781,208.125,21.09375,21.09375,118
1,24.971,165.9375,19.53125,19.53125,118
3,24.971,199.6875,19.53125,19.53125,118
1,25.160,160.3125,25.78125,25.78125,118
3,25.160,194.0625,25.78125,25.78125,118
1,25.349,165.9375,28.90625,28.90625,118
3,25.349,199.6875,28.90625,28.90625,118
1,25.538,140.625,28.90625,28.90625,118
3,25.538,174.375,28.90625,28.90625,118
1,25.727,154.6875,32.03125,32.03125,118
3,25.727,188.4375,32.03125,32.03125,118
1,25.916,174.375,22.65625,22.65625,118
3,25.916,208.125,22.65625,22.65625,118
1,26.126,146.25,49.21875,49.21875,118
3,26.126,180,49.21875,49.21875,118
1,26.304,140.625,35.15625,35.15625,114
3,26.304,174.375,35.15625,35.15625,114
1,26.484,101.25,17.1875,17.1875,118
3,26.484,135,21.09375,21.09375,118
1,26.673,165.9375,28.90625,28.90625,118
3,26.673,199.6875,32.8125,32.8125,118
1,26.862,146.25,42.1875,42.1875,118
3,26.862,180,46.09375,46.09375,118
1,27.051,180,22.65625,22.65625,118
3,27.051,213.75,26.5625,26.5625,118
1,27.241,165.9375,42.1875,42.1875,118
3,27.241,199.6875,46.09375,46.09375,118
1,27.430,174.375,32.03125,32.03125,118
3,27.430,208.125,35.9375,35.9375,118
1,27.619,165.9375,32.03125,32.03125,118
3,27.619,199.6875,17.1875,17.1875,118
1,27.808,154.6875,45.3125,45.3125,118
3,27.808,188.4375,49.21875,49.21875,118
1,27.997,146.25,42.1875,42.1875,118
3,27.997,180,46.09375,46.09375,118
1,28.186,160.3125,39.0625,39.0625,118
3,28.186,194.0625,42.96875,42.96875,118
1,28.376,165.9375,42.1875,42.1875,118
3,28.376,199.6875,46.09375,46.09375,118
1,28.565,160.3125,45.3125,45.3125,118
3,28.565,194.0625,49.21875,49.21875,118
1,28.754,135,38.28125,38.28125,145
3,28.754,168.75,26.5625,26.5625,118
1,28.943,168.75,35.9375,35.9375,118
3,28.943,202.5,39.84375,39.84375,118
1,29.132,154.6875,49.21875,49.21875,118
3,29.132,188.4375,53.125,53.125,118
1,29.321,165.9375,29.6875,29.6875,118
3,29.321,199.6875,33.59375,33.59375,118
1,29.511,146.25,29.6875,29.6875,118
3,29.511,180,33.59375,33.59375,118
1,29.700,174.375,39.0625,39.0625,118
3,29.700,208.125,42.96875,42.96875,118
1,29.889,180,56.25,56.25,118
3,29.889,213.75,60.15625,60.15625,118
1,30.078,154.6875,46.09375,46.09375,118
3,30.078,188.4375,50,50,118
1,30.267,165.9375,35.9375,35.9375,118
3,30.267,199.6875,39.84375,39.84375,118
1,30.457,146.25,39.0625,39.0625,118
3,30.457,180,42.96875,42.96875,118
1,30.646,160.3125,35.9375,35.9375,118
3,30.646,194.0625,39.84375,39.84375,118
1,30.835,165.9375,56.25,56.25,118
3,30.835,199.6875,60.15625,60.15625,118
1,31.024,135,75.78125,75.78125,118
3,31.024,168.75,79.6875,79.6875,118
1,31.213,146.25,49.21875,49.21875,118
3,31.213,180,53.125,53.125,118
1,31.402,140.625,60.15625,60.15625,118
3,31.402,174.375,64.0625,64.0625,118
1,31.603,120.9375,49.21875,49.21875,113
3,31.603,154.6875,53.125,53.125,113
1,31.792,101.25,60.9375,60.9375,118
3,31.792,135,64.0625,64.0625,118
1,31.970,135,40.625,40.625,118
3,31.970,168.75,43.75,43.75,118
1,32.159,146.25,47.65625,47.65625,118
3,32.159,180,50.78125,50.78125,118
1,32.348,154.6875,50.78125,50.78125,118
3,32.348,188.4375,53.90625,53.90625,118
1,32.537,165.9375,47.65625,47.65625,118
3,32.537,199.6875,50.78125,50.78125,118
1,32.727,180,47.65625,47.65625,118
3,32.727,213.75,50.78125,50.78125,118
1,32.916,174.375,40.625,40.625,118
3,32.916,208.125,43.75,43.75,118
1,33.105,188.4375,57.8125,57.8125,118
3,33.105,222.1875,60.9375,60.9375,118
1,33.294,168.75,37.5,37.5,118
3,33.294,202.5,40.625,40.625,118
1,33.483,174.375,40.625,40.625,118
3,33.483,208.125,43.75,43.75,118
1,33.672,180,37.5,37.5,118
3,33.672,213.75,40.625,40.625,118
1,33.862,160.3125,50.78125,50.78125,118
3,33.862,194.0625,53.90625,53.90625,118
1,34.051,165.9375,39.0625,39.0625,118
3,34.051,199.6875,41.40625,41.40625,118
1,34.240,168.75,52.34375,52.34375,118
3,34.240,202.5,54.6875,54.6875,118
1,34.429,154.6875,58.59375,58.59375,118
3,34.429,188.4375,60.9375,60.9375,118
1,34.618,160.3125,62.5,62.5,118
3,34.618,194.0625,64.84375,64.84375,118
1,34.807,146.25,55.46875,55.46875,118
3,34.807,180,57.8125,57.8125,118
1,34.997,154.6875,62.5,62.5,118
3,34.997,188.4375,64.84375,64.84375,118
1,35.186,135,45.3125,45.3125,118
3,35.186,168.75,47.65625,47.65625,118
1,35.375,146.25,55.46875,55.46875,118
3,35.375,180,57.8125,57.8125,118
1,35.564,143.4375,58.59375,58.59375,118
3,35.564,177.1875,60.9375,60.9375,118
1,35.753,146.25,58.59375,58.59375,118
3,35.753,180,60.9375,60.9375,118
1,35.953,137.8125,58.59375,58.59375,118
3,35.953,171.5625,60.9375,60.9375,118
1,36.132,140.625,78.90625,78.90625,118
3,36.132,174.375,81.25,81.25,118
1,36.332,135,58.59375,58.59375,118
3,36.332,168.75,60.9375,60.9375,118
1,36.521,140.625,58.59375,58.59375,118
3,36.521,174.375,60.9375,60.9375,118
1,36.710,146.25,58.59375,58.59375,118
3,36.710,180,60.9375,60.9375,118
1,36.899,154.6875,55.46875,55.46875,113
3,36.899,188.4375,57.8125,57.8125,113
1,37.077,98.4375,75.78125,75.78125,118
3,37.077,132.1875,75.78125,75.78125,118
1,37.267,106.875,45.3125,45.3125,118
3,37.267,140.625,45.3125,45.3125,118
1,37.456,132.1875,45.3125,45.3125,118
3,37.456,165.9375,45.3125,45.3125,118
1,37.645,120.9375,48.4375,48.4375,118
3,37.645,154.6875,48.4375,48.4375,118
1,37.834,109.6875,61.71875,61.71875,118
3,37.834,143.4375,61.71875,61.71875,118
1,38.033,126.5625,40.625,40.625,118
3,38.033,160.3125,40.625,40.625,118
1,38.213,146.25,40.625,40.625,118
3,38.213,180,40.625,40.625,118
1,38.402,129.375,68.75,68.75,118
3,38.402,163.125,68.75,68.75,118
1,38.602,154.6875,64.84375,64.84375,118
3,38.602,188.4375,64.84375,64.84375,118
1,38.780,140.625,42.1875,42.1875,118
3,38.780,174.375,42.1875,42.1875,118
1,38.969,151.875,51.5625,51.5625,118
3,38.969,185.625,51.5625,51.5625,118
1,39.158,160.3125,40.625,40.625,118
3,39.158,194.0625,40.625,40.625,118
1,39.348,112.5,69.53125,69.53125,118
3,39.348,146.25,65.625,65.625,118
1,39.537,132.1875,76.5625,76.5625,118
3,39.537,165.9375,72.65625,72.65625,118
1,39.726,168.75,79.6875,79.6875,118
3,39.726,202.5,75.78125,75.78125,118
1,39.915,165.9375,76.5625,76.5625,118
3,39.915,199.6875,72.65625,72.65625,118
1,40.104,146.25,76.5625,76.5625,118
3,40.104,180,72.65625,72.65625,118
1,40.293,174.375,79.6875,79.6875,118
3,40.293,208.125,75.78125,75.78125,118
1,40.483,160.3125,76.5625,76.5625,118
3,40.483,194.0625,72.65625,72.65625,118
1,40.672,165.9375,66.40625,66.40625,118
3,40.672,199.6875,62.5,62.5,118
1,40.861,132.1875,79.6875,79.6875,118
3,40.861,165.9375,75.78125,75.78125,118
1,41.050,135,76.5625,76.5625,118
3,41.050,168.75,72.65625,72.65625,118
1,41.239,143.4375,92.96875,92.96875,118
3,41.239,177.1875,89.0625,89.0625,118
1,41.428,160.3125,79.6875,79.6875,118
3,41.428,194.0625,75.78125,75.78125,118
1,41.629,180,76.5625,76.5625,118
3,41.629,213.75,72.65625,72.65625,118
1,41.807,196.875,72.65625,72.65625,118
3,41.807,230.625,68.75,68.75,118
1,42.007,213.75,76.5625,76.5625,118
3,42.007,247.5,72.65625,72.65625,118
1,42.185,180,72.65625,72.65625,118
3,42.185,213.75,68.75,68.75,118
1,42.374,112.5,69.53125,69.53125,118
2,42.374,180,72.65625,72.65625,478
3,42.374,146.25,69.53125,69.53125,118
5,42.374,112.5,99.21875,99.21875,1438
1,42.563,132.1875,59.375,59.375,118
3,42.563,165.9375,59.375,59.375,118
1,42.753,146.25,53.125,53.125,118
3,42.753,180,53.125,53.125,118
1,42.942,154.6875,53.125,53.125,118
3,42.942,188.4375,53.125,53.125,118
1,43.131,180,59.375,59.375,118
2,43.131,188.4375,56.25,56.25,478
3,43.131,213.75,59.375,59.375,118
1,43.320,165.9375,59.375,59.375,118
3,43.320,199.6875,59.375,59.375,118
1,43.509,174.375,56.25,56.25,118
3,43.509,208.125,56.25,56.25,118
1,43.698,160.3125,59.375,59.375,118
3,43.698,194.0625,59.375,59.375,118
1,43.888,154.6875,48.4375,48.4375,118
2,43.888,208.125,48.4375,48.4375,478
3,43.888,188.4375,48.4375,48.4375,118
1,44.077,160.3125,59.375,59.375,118
3,44.077,194.0625,59.375,59.375,118
1,44.266,165.9375,69.53125,69.53125,118
3,44.266,199.6875,69.53125,69.53125,118
1,44.455,154.6875,69.53125,69.53125,118
3,44.455,188.4375,69.53125,69.53125,118
2,44.644,194.0625,48.4375,48.4375,478
5,44.644,106.875,99.21875,99.21875,1918
1,44.654,132.1875,59.375,59.375,118
3,44.654,165.9375,59.375,59.375,118
1,44.833,135,62.5,62.5,118
3,44.833,168.75,62.5,62.5,118
1,45.023,154.6875,56.25,56.25,118
3,45.023,188.4375,56.25,56.25,118
1,45.212,165.9375,53.125,53.125,118
3,45.212,199.6875,53.125,53.125,118
2,45.401,199.6875,48.4375,48.4375,478
1,45.410,188.4375,69.53125,69.53125,118
3,45.410,222.1875,69.53125,69.53125,118
1,45.590,174.375,46.09375,46.09375,118
3,45.590,208.125,46.09375,46.09375,118
1,45.779,180,56.25,56.25,118
3,45.779,213.75,56.25,56.25,118
1,45.969,174.375,48.4375,48.4375,118
3,45.969,208.125,48.4375,48.4375,118
1,46.158,165.9375,46.875,46.875,118
2,46.158,188.4375,36.71875,36.71875,478
3,46.158,199.6875,46.875,46.875,118
1,46.347,160.3125,53.125,53.125,118
3,46.347,194.0625,53.125,53.125,118
1,46.536,165.9375,56.25,56.25,118
