H,S,B,H,S,B,H,S,B,H,S,B,H,S,B
178,25,65,118,30,65,39,45,89,27,120,99,180,120,56,39,120,76,350,100,76
215,34,70,5,45,90,175,30,65,215,68,68,15,92,98,356,84,90,38,92,98
140,35,65,200,30,70,80,43,65,14,85,75,184,91,57,120,90,55,52,38,88  
41,50,95,26,57,99,22,75,88,205,100,53,205,100,24,240,100,55,206,100,80 
53,45,87,22,67,97,20,45,66,320,56,18,53,120,50,22,110,90,43,100,100
32,50,95,57,37,68,127,30,65,49,100,93,311,86,65,22,100,93,349,85,94
130,30,65,92,33,62,59,45,69,59,97,45,60,105,65,59,95,87,15,95,85
75,45,75,59,48,92,38,55,90,42,99,80,55,85,65,100,55,60,6,81,70
165,32,65,60,46,64,56,34,90,45,92,99,23,33,37,60,116,45,27,98,90
42,43,88,64,48,75,155,28,68,61,100,63,42,113,80,155,101,52,15,100,70
206,40,95,76,40,80,36,40,89,256,115,85,196,100,90,219,95,90,46,105,85 
35,34,92,148,54,82,148,44,57,345,119,67,95,100,50,155,100,57,353,105,95 
18,51,78,198,51,78,198,51,53,18,91,78,198,91,78,198,91,53,33,101,88
68,40,70,199,54,75,175,55,72,199,100,68,180,105,53,225,80,65,49,85,93
195,57,75,200,50,90,207,54,79,220,76,62,199,110,72,210,86,83,11,86,95
50,45,86,184,40,75,155,42,72,22,38,48,184,113,59,155,92,48,46,88,98
15,75,90,172,26,62,42,60,95,30,115,80,172,86,58,42,88,90,10,100,95
80,45,70,213,48,75,171,50,65,82,80,50,243,90,55,203,108,65,52,68,90
137,49,60,180,50,70,206,52,70,223,85,60,170,100,50,100,95,40,35,54,90
0,58,90,34,49,90,48,62,99,356,84,93,38,92,98,15,100,95,182,38,51
185,50,69,14,62,93,355,60,80,18,38,50,14,81,88,185,100,60,46,81,93
43,36,90,183,27,74,90,28,80,183,87,64,43,96,86,28,92,85,1,90,97
57,42,95,201,30,79,27,65,95,26,61,61,201,55,19,353,97,99,57,72,95
43,44,95,0,43,87,73,40,80,350,90,70,43,100,100,22,92,93,320,56,24
67,32,71,49,50,97,30,58,90,67,102,51,32,98,91,339,100,70,311,76,39
67,32,67,49,50,90,30,58,90,67,102,51,32,98,91,339,100,70,311,76,39
165,33,70,27,50,94,45,52,99,55,92,99,23,43,47,160,86,60,170,76,74
155,31,74,61,38,93,42,52,90,15,75,75,60,80,50,155,85,70,61,78,94
161,40,85,95,36,85,55,42,87,55,82,87,31,90,97,17,47,49,161,79,69
190,30,75,105,30,86,150,31,70,18,49,55,10,88,90,45,85,85,20,92,95
68,35,72,199,30,75,180,34,65,175,65,76,199,94,60,68,70,65,49,85,93
