"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"#424395FF","#018AC4FF","#5EC2DAFF","#EBC915FF","#EB549AFF","#550133FF","#424395FF","#018AC4FF","#5EC2DAFF","#EBC915FF","#EB549AFF","#550133FF"
"#08173AFF","#012F53FF","#016D83FF","#02A0A2FF","#AC9679FF","#E9DEB4FF","#08173AFF","#012F53FF","#016D83FF","#02A0A2FF","#AC9679FF","#E9DEB4FF"
"#1B0204FF","#4E0C0DFF","#881618FF","#B01515FF","#C47F4EFF","#773924FF","#1B0204FF","#4E0C0DFF","#881618FF","#B01515FF","#C47F4EFF","#773924FF"
"#171C45FF","#3E2361FF","#622E82FF","#A45789FF","#8EC87AFF","#439E5FFF","#171C45FF","#3E2361FF","#622E82FF","#A45789FF","#8EC87AFF","#439E5FFF"
"#12343AFF","#193E44FF","#539E59FF","#84C876FF","#BBD961FF","#F5EC54FF","#12343AFF","#193E44FF","#539E59FF","#84C876FF","#BBD961FF","#F5EC54FF"
"#937338FF","#B99A57FF","#D7C295FF","#EADCBFFF","#E3BD91FF","#B2825BFF","#937338FF","#B99A57FF","#D7C295FF","#EADCBFFF","#E3BD91FF","#B2825BFF"
"#2B1917FF","#7E5945FF","#BC927BFF","#F1E6E1FF","#2B1917FF","#7E5945FF","#BC927BFF","#F1E6E1FF","#2B1917FF","#7E5945FF","#BC927BFF","#F1E6E1FF"
"#040406FF","#07144EFF","#0D5BBBFF","#9EBBE7FF","#F80F61FF","#6F041EFF","#040406FF","#07144EFF","#0D5BBBFF","#9EBBE7FF","#F80F61FF","#6F041EFF"
"#1F0206FF","#3C030AFF","#6C051AFF","#A81F31FF","#B84E5AFF","#D8ADC1FF","#1F0206FF","#3C030AFF","#6C051AFF","#A81F31FF","#B84E5AFF","#D8ADC1FF"
"#2B1F6BFF","#531F67FF","#71195AFF","#994C9CFF","#DB829BFF","#FBB5B7FF","#2B1F6BFF","#531F67FF","#71195AFF","#994C9CFF","#DB829BFF","#FBB5B7FF"
"#82441BFF","#B45921FF","#F49D63FF","#FDC57AFF","#FEEECFFF","#F6F6F6FF","#82441BFF","#B45921FF","#F49D63FF","#FDC57AFF","#FEEECFFF","#F6F6F6FF"
"#43152BFF","#7B3532FF","#CC643FFF","#CF7F46FF","#CBE08BFF","#86C767FF","#43152BFF","#7B3532FF","#CC643FFF","#CF7F46FF","#CBE08BFF","#86C767FF"
"#040320FF","#352140FF","#871951FF","#EB4A60FF","#CFAB7AFF","#EEE5B4FF","#040320FF","#352140FF","#871951FF","#EB4A60FF","#CFAB7AFF","#EEE5B4FF"
"#020113FF","#1B143CFF","#431534FF","#5F2E4CFF","#717F9AFF","#4F4D72FF","#020113FF","#1B143CFF","#431534FF","#5F2E4CFF","#717F9AFF","#4F4D72FF"
"#D56702FF","#EA8425FF","#FCCD1BFF","#EFE3D7FF","#EFEFEFFF","#DB1C6AFF","#D56702FF","#EA8425FF","#FCCD1BFF","#EFE3D7FF","#EFEFEFFF","#DB1C6AFF"
"#003542FF","#00766EFF","#008A82FF","#DDE0D0FF","#D4B798FF","#B58052FF","#003542FF","#00766EFF","#008A82FF","#DDE0D0FF","#D4B798FF","#B58052FF"
"#000000FF","#333333FF","#666666FF","#F8D564FF","#EFB344FF","#F8A02EFF","#000000FF","#333333FF","#666666FF","#F8D564FF","#EFB344FF","#F8A02EFF"
"#87B9D5FF","#9DCBE4FF","#BBD4E4FF","#B7D1BFFF","#DAB87CFF","#744D1FFF","#87B9D5FF","#9DCBE4FF","#BBD4E4FF","#B7D1BFFF","#DAB87CFF","#744D1FFF"
"#180705FF","#3A140CFF","#DD8521FF","#F1C332FF","#ED9C97FF","#E1595CFF","#180705FF","#3A140CFF","#DD8521FF","#F1C332FF","#ED9C97FF","#E1595CFF"
"#030439FF","#00298CFF","#211DF0FF","#4092E1FF","#CE8A8CFF","#4B393BFF","#030439FF","#00298CFF","#211DF0FF","#4092E1FF","#CE8A8CFF","#4B393BFF"
"#421E0FFF","#582810FF","#8F522FFF","#E9BEA0FF","#355A67FF","#293A39FF","#421E0FFF","#582810FF","#8F522FFF","#E9BEA0FF","#355A67FF","#293A39FF"
"#417839FF","#9BB655FF","#D3D5AEFF","#EDD6D5FF","#D89873FF","#803342FF","#417839FF","#9BB655FF","#D3D5AEFF","#EDD6D5FF","#D89873FF","#803342FF"
"#042F49FF","#096590FF","#3394BBFF","#8DB576FF","#418877FF","#146252FF","#B06429FF","#E5AE8DFF","#042F49FF","#096590FF","#3394BBFF","#8DB576FF"
"#411F6BFF","#623976FF","#BE3979FF","#DB928AFF","#E2C6A6FF","#411F6BFF","#623976FF","#BE3979FF","#DB928AFF","#E2C6A6FF","#411F6BFF","#623976FF"
"#241E0CFF","#342C16FF","#574A2FFF","#6D5D3BFF","#B48E64FF","#72472FFF","#241E0CFF","#342C16FF","#574A2FFF","#6D5D3BFF","#B48E64FF","#72472FFF"
"#283265FF","#55648CFF","#7C86A6FF","#72C3C7FF","#F8FFFFFF","#50B8BEFF","#283265FF","#55648CFF","#7C86A6FF","#72C3C7FF","#F8FFFFFF","#50B8BEFF"
"#CA2A48FF","#E7466EFF","#F36892FF","#FC98B4FF","#CCCCCCFF","#EFEFEFFF","#CA2A48FF","#E7466EFF","#F36892FF","#FC98B4FF","#CCCCCCFF","#EFEFEFFF"
"#12070DFF","#38190FFF","#8C5228FF","#FA9646FF","#FED5ACFF","#B41417FF","#12070DFF","#38190FFF","#8C5228FF","#FA9646FF","#FED5ACFF","#B41417FF"
"#1F1A15FF","#5F392CFF","#ECCAADFF","#EBD6C0FF","#EA879CFF","#8E2322FF","#1F1A15FF","#5F392CFF","#ECCAADFF","#EBD6C0FF","#EA879CFF","#8E2322FF"
"#2D1E78FF","#4A3587FF","#635595FF","#ABB2A5FF","#9D9E92FF","#848575FF","#2D1E78FF","#4A3587FF","#635595FF","#ABB2A5FF","#9D9E92FF","#848575FF"
"#341D39FF","#562034FF","#84254FFF","#BA2271FF","#CD3A95FF","#DBD553FF","#341D39FF","#562034FF","#84254FFF","#BA2271FF","#CD3A95FF","#DBD553FF"
"#1755A2FF","#3E8AC6FF","#BDB0A0FF","#DDD9D0FF","#D573A6FF","#BE0157FF","#1755A2FF","#3E8AC6FF","#BDB0A0FF","#DDD9D0FF","#D573A6FF","#BE0157FF"
"#715C59FF","#BFAAA5FF","#DBCAC6FF","#EBDCDCFF","#F2E4E3FF","#D1D0D5FF","#715C59FF","#BFAAA5FF","#DBCAC6FF","#EBDCDCFF","#F2E4E3FF","#D1D0D5FF"
"#07646DFF","#45837FFF","#699896FF","#E394BBFF","#DE6DA7FF","#D4419EFF","#07646DFF","#45837FFF","#699896FF","#E394BBFF","#DE6DA7FF","#D4419EFF"
"#A1674FFF","#D7A786FF","#EBD9C6FF","#F0E7DDFF","#F2EDE6FF","#64BDC6FF","#A1674FFF","#D7A786FF","#EBD9C6FF","#F0E7DDFF","#F2EDE6FF","#64BDC6FF"
"#000000FF","#1C153FFF","#403081FF","#5D4494FF","#AD8867FF","#8C6542FF","#000000FF","#1C153FFF","#403081FF","#5D4494FF","#AD8867FF","#8C6542FF"
"#068D9DFF","#65A8ABFF","#8CBDBCFF","#ADB9A1FF","#BCC2A5FF","#D0AF84FF","#068D9DFF","#65A8ABFF","#8CBDBCFF","#ADB9A1FF","#BCC2A5FF","#D0AF84FF"
"#5C4746FF","#7F6B61FF","#836F65FF","#C2B0A3FF","#D9C6B8FF","#F4EBE2FF","#FFF8F5FF","#5C4746FF","#7F6B61FF","#836F65FF","#C2B0A3FF","#D9C6B8FF"
"#19172CFF","#A20226FF","#818392FF","#AAB0BEFF","#E3EAF4FF","#FFFFFFFF","#19172CFF","#A20226FF","#818392FF","#AAB0BEFF","#E3EAF4FF","#FFFFFFFF"
"#4A1326FF","#5E0F24FF","#750B21FF","#943047FF","#BE294CFF","#A46478FF","#ACBAC7FF","#8895A5FF","#7E8B9CFF","#4A1326FF","#5E0F24FF","#750B21FF"
